task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
32e9702f#0,32e9702f,0,1001,157,0.04020117432011194,0.11788211788211789,0.2107892107892108,0.4215784215784216,6.375796178343949,118,0.5923566878980892,0,0.0,0.0,0.4713235188632642,0.4856633651725081,0.461482960582729,dev
332efdb3#0,332efdb3,0,9,4,0.06978879887380718,0.6666666666666666,0.7777777777777777,1.0,2.25,6,0.75,0,0.0,1.0,0.5773502691896257,0.7745966692414834,0.2581988897471611,dev
3391f8c0#0,3391f8c0,0,1001,276,0.05927555349958369,0.0939060939060939,0.16683316683316685,0.29270729270729273,3.6268115942028984,94,0.605072463768116,0,0.0,0.0,0.18895637558424255,0.21382765425426378,0.18951004653581863,dev
33b52de3#0,33b52de3,0,1001,999,0.16149768889987715,0.002997002997002997,0.003996003996003996,0.006993006993006993,1.002002002002002,3,0.998998998998999,0,0.0,0.0,-0.005378437939429487,-0.004061269488908055,-0.005707730092519428,test
3490cc26#0,3490cc26,0,1001,119,0.03269010608490286,0.3386613386613387,0.6163836163836164,0.7882117882117882,8.411764705882353,339,0.8487394957983193,0,0.0,0.0,-0.08840457252687256,-0.02928624879225022,-0.11019900754829165,test
34b99a2b#0,34b99a2b,0,1001,13,0.002491414796865654,0.987012987012987,0.989010989010989,0.992007992007992,77.0,988,0.8461538461538461,0,0.0,1.0,0.39364791081110856,0.5248638810814781,0.10497277621629561,test
351d6448#0,351d6448,0,1001,824,0.6312664211875738,0.02197802197802198,0.03496503496503497,0.06593406593406594,1.2148058252427185,22,0.9271844660194175,22,0.02197802197802198,0.0,0.08269651246066524,0.093139245477378,0.08093737912181813,test
358ba94e#0,358ba94e,0,1001,39,0.10690736457521399,0.24175824175824176,0.3676323676323676,0.6803196803196803,25.666666666666668,242,0.3076923076923077,0,0.0,0.0,0.19046722251283904,0.29704117386357665,0.11040013147059845,dev
37d3e8b2#0,37d3e8b2,0,1001,419,0.1976870274178545,0.14685314685314685,0.21878121878121878,0.35764235764235763,2.389021479713604,147,0.8758949880668258,0,0.0,0.0,0.06744991322942763,0.07178299115021046,0.048307630333158054,dev
3979b1a8#0,3979b1a8,0,1001,6,0.004067680495206782,0.994005994005994,0.996003996003996,0.9990009990009989,166.83333333333334,995,0.6666666666666666,0,0.0,1.0,0.1740776559556978,0.1740776559556978,-0.80075721739621,dev
3a301edc#0,3a301edc,0,1001,14,0.0026304649866579766,0.949050949050949,0.979020979020979,0.99000999000999,71.5,950,0.5714285714285714,0,0.0,0.0,-0.04030268509207456,0.07799080767991881,-0.18522816823980717,dev
3b4c2228#0,3b4c2228,0,1001,36,0.15155911316004467,0.45754245754245754,0.7842157842157842,0.8931068931068931,27.805555555555557,458,0.3055555555555556,0,0.0,0.0,0.41972656054386215,0.537834742496938,0.48950034893109035,dev
3b4c2228#1,3b4c2228,1,1001,81,0.22157328787285946,0.3006993006993007,0.4905094905094905,0.7152847152847153,12.358024691358025,301,0.4444444444444444,0,0.0,1.0,0.3304954406840829,0.45480204370580923,0.435307635453959,dev
3d31c5b3#0,3d31c5b3,0,1001,8,0.006968170756440295,0.938061938061938,0.958041958041958,0.997002997002997,125.125,939,0.375,0,0.0,1.0,0.6421710925161951,0.9697815168769668,0.6506129163858132,test
3ed85e70#0,3ed85e70,0,1001,946,0.028565343434526436,0.007992007992007992,0.012987012987012988,0.024975024975024976,1.058139534883721,8,0.9630021141649049,0,0.0,0.0,0.12643915783451434,0.1499125368423726,0.14709714096756865,dev
3ee1011a#0,3ee1011a,0,1001,216,0.7384048490430997,0.17082917082917082,0.2817182817182817,0.4785214785214785,4.6342592592592595,171,0.6620370370370371,0,0.0,0.0,0.1943146810716273,0.3380124995255975,0.23501064274663955,dev
3f23242b#0,3f23242b,0,1001,708,0.15261709542545876,0.03596403596403597,0.05794205794205795,0.09690309690309691,1.4138418079096045,36,0.8742937853107344,0,0.0,0.0,0.15680833431118954,0.16173822354363476,0.15441539146043848,test
40f6cd08#0,40f6cd08,0,1001,992,0.11429489733536446,0.003996003996003996,0.005994005994005994,0.011988011988011988,1.0090725806451613,4,0.9929435483870968,0,0.0,1.0,-0.0515847212921848,-0.05108057822722061,-0.05187969526075913,dev
414297c0#0,414297c0,0,1001,1001,0.8011826321728884,0.000999000999000999,0.001998001998001998,0.004995004995004995,1.0,1,1.0,0,0.0,0.0,,,,test
423a55dc#0,423a55dc,0,1001,103,0.029607581982189157,0.27172827172827174,0.44655344655344653,0.6953046953046953,9.718446601941748,272,0.6796116504854369,0,0.0,0.0,0.559387513377702,0.6655834568040386,0.6388669956135269,dev
42918530#0,42918530,0,1001,297,0.011627049206169526,0.057942057942057944,0.10589410589410589,0.22277722277722278,3.3703703703703702,58,0.6026936026936027,0,0.0,0.0,0.1614532442486689,0.297758923147479,0.27818848219288494,test
42a15761#0,42a15761,0,72,72,0.046925764139971626,0.013888888888888888,0.027777777777777776,0.06944444444444445,1.0,1,1.0,0,0.0,0.0,,,,dev
4364c1c4#0,4364c1c4,0,1001,223,0.07564794517456197,0.08091908091908091,0.14685314685314685,0.2937062937062937,4.488789237668161,81,0.5874439461883408,0,0.0,0.0,0.11161981967257004,0.1278408978491338,0.0955352222893352,dev
456873bc#0,456873bc,0,1001,494,0.038844095402862044,0.05094905094905095,0.0979020979020979,0.1888111888111888,2.026315789473684,51,0.7672064777327935,0,0.0,0.0,0.3320262938997135,0.33855648518859777,0.33346318648771545,dev
45737921#0,45737921,0,1001,1,0.0,1.0,1.0,1.0,1001.0,1001,0.0,0,0.0,1.0,,,,dev
45bbe264#0,45bbe264,0,1001,1,0.0,1.0,1.0,1.0,1001.0,1001,0.0,0,0.0,1.0,,,,test
477d2879#0,477d2879,0,1001,370,0.22848894480326576,0.11588411588411589,0.17782217782217782,0.29070929070929075,2.7054054054054055,116,0.7513513513513513,0,0.0,1.0,0.1582271439847003,0.3200291838591832,0.3108902111645684,test
47996f11#0,47996f11,0,1001,1001,0.04375795597190868,0.000999000999000999,0.001998001998001998,0.004995004995004995,1.0,1,1.0,0,0.0,0.0,,,,test
48131b3c#0,48131b3c,0,1001,5,0.0004050020908162866,0.993006993006993,0.996003996003996,1.0,200.2,994,0.4,0,0.0,1.0,0.5526315789473686,0.6155870112510925,0.05129891760425771,test
4852f2fa#0,4852f2fa,0,576,112,0.7420891562102088,0.234375,0.3298611111111111,0.4722222222222222,5.142857142857143,135,0.6964285714285714,0,0.0,0.0,-0.04173736282975252,-0.009534964425904508,-0.116670920641475,test
4852f2fa#1,4852f2fa,1,576,79,0.584173934511915,0.3819444444444444,0.6006944444444444,0.6909722222222221,7.291139240506329,220,0.5569620253164557,0,0.0,0.0,0.046777732928165984,0.08917573964099358,-0.03304453629216699,test
48f8583b#0,48f8583b,0,1001,201,0.45977992890451425,0.4045954045954046,0.6183816183816184,0.7112887112887113,4.980099502487562,405,0.8557213930348259,0,0.0,1.0,-0.08032153706388737,-0.01879425769384615,-0.10621700324999686,dev
4aab4007#0,4aab4007,0,1001,997,0.12738374706034183,0.001998001998001998,0.003996003996003996,0.008991008991008992,1.004012036108325,2,0.995987963891675,1,0.000999000999000999,0.0,-0.03156218342225889,-0.03065252345825318,-0.03181027016464002,dev
4acc7107#0,4acc7107,0,1001,960,0.2786206999329116,0.00999000999000999,0.014985014985014984,0.026973026973026972,1.0427083333333333,10,0.978125,0,0.0,0.0,-0.07021049273660424,-0.06668212605866225,-0.06818831444672382,dev
4b6b68e5#0,4b6b68e5,0,1001,337,0.1061127735067674,0.0989010989010989,0.17182817182817184,0.31868131868131866,2.970326409495549,99,0.7863501483679525,0,0.0,0.0,0.1318536724871887,0.12254314977157463,0.09860739698987465,dev
4c177718#0,4c177718,0,1001,224,0.04949103984421921,0.14385614385614387,0.20179820179820182,0.33766233766233766,4.46875,144,0.6383928571428571,0,0.0,0.0,0.16831866478568092,0.20556232090310636,0.184496609011376,test
4c177718#1,4c177718,1,1001,242,0.08041573535205349,0.10589410589410589,0.2017982017982018,0.32967032967032966,4.136363636363637,106,0.5950413223140496,0,0.0,0.0,0.04069986515631762,0.09918214251592224,0.0643995227808182,test
4cd1b7b2#0,4cd1b7b2,0,1001,49,0.12453268509712068,0.38161838161838163,0.5114885114885115,0.7842157842157843,20.428571428571427,382,0.4897959183673469,0,0.0,1.0,0.26669970454044284,0.24318373916918332,0.10625007664371702,dev
4e45f183#0,4e45f183,0,1001,53,0.003515657392272442,0.7932067932067932,0.8281718281718282,0.8941058941058941,18.88679245283019,794,0.5283018867924528,0,0.0,0.0,0.44927609321537026,0.44311868821917433,0.4187003366463618,dev
4e469f39#0,4e469f39,0,576,110,0.07705891436399936,0.4357638888888889,0.5711805555555556,0.701388888888889,5.236363636363636,251,0.7363636363636363,0,0.0,1.0,0.30922874162188885,0.33136835927733327,0.29832233152872245,test
4f537728#0,4f537728,0,1001,1,0.0,1.0,1.0,1.0,1001.0,1001,0.0,0,0.0,1.0,,,,dev
4ff4c9da#0,4ff4c9da,0,1001,645,0.01894602136522161,0.028971028971028972,0.05394605394605395,0.11688311688311688,1.551937984496124,29,0.8387596899224806,1,0.000999000999000999,0.0,0.30964484265061915,0.3319355309203658,0.32490955706582136,test
505fff84#0,505fff84,0,1001,578,0.6759548591382085,0.023976023976023976,0.04095904095904096,0.07892107892107893,1.731833910034602,24,0.7041522491349481,0,0.0,0.0,0.18980909623666875,0.21611565411112144,0.19427123026769968,test
