task_id,majority_vote_mass,distinct_candidate_grids
c074846d#1,0.13986013986013987,149
c1990cce#0,0.2743055555555556,228
c3202e5a#0,0.02097902097902098,747
c35c1b4c#0,0.34765234765234765,141
c48954c1#0,0.987012987012987,14
c62e2108#0,0.1848151848151848,240
c64f1187#0,0.01898101898101898,914
c658a4bd#0,0.2917082917082917,237
c663677b#0,1.0,1
c6e1b8da#0,0.10589410589410589,478
c7d4e6ad#0,0.986013986013986,4
c87289bb#0,0.9322916666666666,33
c8b7cc0f#0,0.3676323676323676,26
c92b942c#0,0.17682317682317683,206
c97c0139#0,0.9305555555555556,16
ca8de6ea#0,0.9470529470529471,24
ca8f78db#0,0.5334665334665335,91
cad67732#0,0.015984015984015984,745
cb227835#0,0.7170138888888888,111
ccd554ac#0,0.01098901098901099,906
cd3c21df#0,0.5904095904095904,44
ce039d91#0,0.09375,155
ce8d95cc#0,0.11888111888111888,266
cf133acc#0,0.8741258741258742,64
cfb2ce5a#0,0.02197802197802198,639
d017b73f#0,0.922077922077922,24
d19f7514#0,0.997002997002997,4
d282b262#0,0.01098901098901099,971
d2acf2cb#0,0.938061938061938,46
d304284e#0,0.010416666666666666,553
d37a1ef5#0,0.75,29
d47aa2ff#0,0.8121878121878122,11
d492a647#0,0.997002997002997,3
d4b1c2b1#0,0.5764235764235764,141
d4c90558#0,0.04995004995004995,402
d56f2372#0,0.06993006993006994,448
d5c634a2#0,0.22277722277722278,74
d5c634a2#1,0.43756243756243757,57
d931c21c#0,0.0999000999000999,489
d94c3b52#0,0.03696303696303696,741
da2b0fe3#0,0.7412587412587412,104
da2b0fe3#1,0.3306693306693307,237
da515329#0,0.027777777777777776,70
dc2aa30b#0,0.003472222222222222,570
dc2e9a9d#0,0.3546453546453546,133
dd2401ed#0,0.24875124875124874,126
de493100#0,0.002997002997002997,989
df8cc377#0,0.11788211788211789,453
e0fb7511#0,0.9618055555555556,8
e133d23d#0,1.0,1
e1baa8a4#0,0.022977022977022976,619
e1d2900e#0,0.09027777777777778,119
e2092e0c#0,0.1888111888111888,196
e21a174a#0,0.16783216783216784,265
e21a174a#1,0.011988011988011988,891
e345f17b#0,0.996003996003996,3
e345f17b#1,0.951048951048951,21
e4075551#0,0.7852147852147852,35
e41c6fd3#0,0.03596403596403597,786
e57337a4#0,0.1978021978021978,62
e5790162#0,0.7322677322677322,166
e5c44e8f#0,0.08159722222222222,356
e619ca6e#0,0.041666666666666664,67
e633a9e5#0,1.0,1
e66aafb8#0,0.01098901098901099,747
e681b708#0,0.03896103896103896,508
e69241bd#0,0.8881118881118881,18
e6de6e8f#0,0.265625,77
e74e1818#0,0.003996003996003996,977
e760a62e#0,0.23376623376623376,164
e7639916#0,0.7864583333333334,32
e78887d1#0,0.09490509490509491,330
e7a25a18#0,0.6643356643356644,171
e7b06bea#0,0.3926073926073926,74
e7dd8335#0,0.18229166666666666,136
e872b94a#0,0.3611111111111111,7
e88171ec#0,0.998001998001998,3
e95e3d8e#0,0.8071928071928072,46
e99362f0#0,0.935064935064935,6
e9ac8c9e#0,0.04295704295704296,592
e9b4f6fc#0,0.012987012987012988,663
e9bb6954#0,0.8151848151848152,49
e9c9d9a1#0,0.4115884115884116,91
ea959feb#0,0.002997002997002997,999
ea9794b1#0,0.996003996003996,2
ecaa0ec1#0,0.5144855144855145,15
