statistic,retained_puzzles,coverage,accuracy
random_order_expectation,66,0.55,0.029166666666666667
random_order_expectation,67,0.5583333333333333333333333333,0.029166666666666667
random_order_expectation,68,0.5666666666666666666666666667,0.029166666666666667
random_order_expectation,69,0.575,0.029166666666666667
random_order_expectation,70,0.5833333333333333333333333333,0.029166666666666667
random_order_expectation,71,0.5916666666666666666666666667,0.029166666666666667
random_order_expectation,72,0.6,0.029166666666666667
random_order_expectation,73,0.6083333333333333333333333333,0.029166666666666667
random_order_expectation,74,0.6166666666666666666666666667,0.029166666666666667
random_order_expectation,75,0.625,0.029166666666666667
random_order_expectation,76,0.6333333333333333333333333333,0.029166666666666667
random_order_expectation,77,0.6416666666666666666666666667,0.029166666666666667
random_order_expectation,78,0.65,0.029166666666666667
random_order_expectation,79,0.6583333333333333333333333333,0.029166666666666667
random_order_expectation,80,0.6666666666666666666666666667,0.029166666666666667
random_order_expectation,81,0.675,0.029166666666666667
random_order_expectation,82,0.6833333333333333333333333333,0.029166666666666667
random_order_expectation,83,0.6916666666666666666666666667,0.029166666666666667
random_order_expectation,84,0.7,0.029166666666666667
random_order_expectation,85,0.7083333333333333333333333333,0.029166666666666667
random_order_expectation,86,0.7166666666666666666666666667,0.029166666666666667
random_order_expectation,87,0.725,0.029166666666666667
random_order_expectation,88,0.7333333333333333333333333333,0.029166666666666667
random_order_expectation,89,0.7416666666666666666666666667,0.029166666666666667
