task_id,puzzle_id,pair_index,emitted_candidates,distinct_candidate_grids,orbit_dispersion,majority_vote_mass,top2_vote_mass,top5_vote_mass,mean_candidate_multiplicity,max_candidate_multiplicity,singleton_grid_fraction,invalid_emissions,invalid_emission_fraction,b1_correct,d_count_distinct,d_count_multiset,d_count_non_identical_support,split
9110e3c5#1,9110e3c5,1,1001,768,0.9088904860181334,0.02197802197802198,0.03696303696303697,0.06793206793206794,1.3033854166666667,22,0.8841145833333334,0,0.0,0.0,-0.06479640559788309,-0.0023273783022659334,-0.01962061879836545,test
917bccba#0,917bccba,0,1001,153,0.3579746704007951,0.17382617382617382,0.22977022977022976,0.36663336663336665,6.542483660130719,174,0.20261437908496732,0,0.0,0.0,0.3907347434101194,0.39245907936877195,0.34776068013592903,test
929ab4e9#0,929ab4e9,0,1001,365,0.020184305466788732,0.1798201798201798,0.33166833166833165,0.42357642357642356,2.7424657534246575,180,0.7589041095890411,0,0.0,0.0,0.14280382327714822,0.26178748831023013,0.24123844619914,dev
92e50de0#0,92e50de0,0,1001,59,0.42203426148286094,0.6653346653346653,0.6973026973026973,0.7792207792207791,16.966101694915253,666,0.22033898305084745,1,0.000999000999000999,0.0,0.09573052905870981,0.33180308907505063,0.1783201604617431,test
9356391f#0,9356391f,0,1001,54,0.07107679876317485,0.7572427572427572,0.8341658341658342,0.9250749250749251,18.537037037037038,758,0.6481481481481481,0,0.0,0.0,0.052894117767812644,0.06623071264224072,-0.0438403432567638,test
93b4f4b3#0,93b4f4b3,0,1001,929,0.9504453422041549,0.007992007992007992,0.011988011988011988,0.022977022977022976,1.077502691065662,8,0.9504843918191603,0,0.0,0.0,-0.05780829282532409,-0.02749021167627387,-0.04190790407568235,test
93c31fbe#0,93c31fbe,0,1001,344,0.819491638143725,0.04195804195804196,0.07492507492507493,0.13886113886113888,2.9098837209302326,42,0.3168604651162791,0,0.0,0.0,0.07214393294507614,0.10538007621660575,0.06551950874860005,dev
94133066#0,94133066,0,1001,784,0.9106423187280878,0.01898101898101898,0.03496503496503496,0.06293706293706294,1.2767857142857142,19,0.9056122448979592,0,0.0,0.0,0.3382392458395445,0.35033219079049144,0.3206314239049222,dev
94414823#0,94414823,0,1001,721,0.8418249743951753,0.00999000999000999,0.017982017982017984,0.03896103896103896,1.3883495145631068,10,0.7420249653259362,0,0.0,0.0,0.04318847919180054,0.09652197401673011,0.06930343857309021,dev
94be5b80#0,94be5b80,0,1001,804,0.7090030893850826,0.01898101898101898,0.03196803196803197,0.06393606393606394,1.2450248756218905,19,0.8905472636815921,0,0.0,0.0,0.2726692698074694,0.29852588883284076,0.290616667725877,test
95a58926#0,95a58926,0,1001,354,0.9286541412608729,0.04295704295704296,0.06793206793206794,0.1188811188811189,2.827683615819209,43,0.3446327683615819,0,0.0,0.0,0.08213123439200347,0.2403692273380441,0.17528299670637365,test
963f59bc#0,963f59bc,0,1001,450,0.8880076338158109,0.08391608391608392,0.13386613386613389,0.2177822177822178,2.2244444444444444,84,0.7044444444444444,0,0.0,0.0,-0.014108685833228487,0.21936960183836945,0.17288371430143581,dev
96a8c0cd#0,96a8c0cd,0,1001,981,0.44900817525805337,0.006993006993006993,0.011988011988011988,0.019980019980019977,1.020387359836901,7,0.9898063200815495,7,0.006993006993006993,0.0,-0.059699544348574496,-0.05278910571212371,-0.06000202399430831,dev
97239e3d#0,97239e3d,0,1001,791,0.5577234207805284,0.08091908091908091,0.0899100899100899,0.10589410589410589,1.2654867256637168,81,0.877370417193426,0,0.0,0.0,0.0772760138782315,0.08652299845658329,0.05854427134552243,test
9772c176#0,9772c176,0,576,569,0.23103782116510208,0.013888888888888888,0.015625,0.020833333333333336,1.0123022847100176,8,0.9982425307557118,0,0.0,0.0,-0.07254762619243392,-0.07254762619243392,-0.07254762619243392,dev
981571dc#0,981571dc,0,1001,801,0.09487436957679396,0.011988011988011988,0.022977022977022976,0.04995004995004995,1.2496878901373283,12,0.8976279650436954,0,0.0,0.0,0.37579181252298155,0.39184784403784456,0.37219821764064104,dev
